date,market_location,commodity,min_price_pkr_per_40kg,max_price_pkr_per_40kg,avg_price_pkr_per_40kg,demand_status
1/22/2024,Quetta,Cotton,1054,1625,1339,High
1/22/2024,Quetta,Vegetables,1547,2128,1837,High
1/29/2024,Multan,Rice,1454,1907,1680,High
1/29/2024,Multan,Cotton,2421,2746,2583,High
1/29/2024,Faisalabad,Vegetables,1968,2474,2221,High
1/29/2024,Karachi,Wheat,1126,1708,1417,High
1/29/2024,Karachi,Sugarcane,1845,2137,1991,High
1/29/2024,Peshawar,Rice,1224,1467,1345,High
1/29/2024,Peshawar,Maize,1115,1739,1427,High
1/29/2024,Peshawar,Vegetables,2065,2545,2305,High
1/29/2024,Quetta,Sugarcane,1526,1840,1683,High
2/5/2024,Lahore,Rice,1354,1957,1655,High
2/5/2024,Multan,Maize,1864,2581,2222,High
2/5/2024,Multan,Sugarcane,1860,2640,2250,High
2/5/2024,Faisalabad,Wheat,2430,2993,2711,High
2/5/2024,Faisalabad,Rice,1683,2198,1940,High
2/5/2024,Faisalabad,Maize,1557,2082,1819,High
2/5/2024,Faisalabad,Sugarcane,1339,1723,1531,High
2/5/2024,Faisalabad,Cotton,1101,1868,1484,High
2/5/2024,Karachi,Wheat,1396,1864,1630,High
2/5/2024,Karachi,Rice,1409,1662,1535,High
2/5/2024,Peshawar,Sugarcane,2344,3093,2718,High
2/5/2024,Quetta,Wheat,1073,1611,1342,High
2/5/2024,Quetta,Rice,1152,1828,1490,High
2/5/2024,Quetta,Maize,2254,2509,2381,High
2/5/2024,Quetta,Cotton,1907,2545,2226,High
2/5/2024,Quetta,Vegetables,1451,1931,1691,High
2/12/2024,Lahore,Rice,1017,1436,1226,High
2/12/2024,Lahore,Maize,1891,2541,2216,High
2/12/2024,Lahore,Sugarcane,1667,2157,1912,High
2/12/2024,Multan,Wheat,1074,1639,1356,High
2/12/2024,Multan,Sugarcane,1661,2387,2024,High
2/12/2024,Faisalabad,Rice,1382,2015,1698,High
2/12/2024,Faisalabad,Sugarcane,2466,3034,2750,High
2/12/2024,Faisalabad,Cotton,1656,2097,1876,High
2/12/2024,Faisalabad,Vegetables,1722,2239,1980,High
2/12/2024,Karachi,Wheat,2336,2715,2525,High
2/12/2024,Karachi,Sugarcane,2055,2801,2428,High
2/12/2024,Peshawar,Rice,2334,2709,2521,High
2/12/2024,Quetta,Maize,2037,2303,2170,High
2/12/2024,Quetta,Vegetables,1405,2081,1743,High
2/19/2024,Lahore,Maize,1536,1761,1648,High
2/19/2024,Multan,Wheat,1374,1909,1641,High
2/19/2024,Multan,Maize,1146,1397,1271,High
2/19/2024,Multan,Sugarcane,1203,1889,1546,High
2/19/2024,Faisalabad,Wheat,2129,2389,2259,High
2/19/2024,Faisalabad,Cotton,1358,1600,1479,High
2/19/2024,Karachi,Wheat,1224,1770,1497,High
2/19/2024,Karachi,Cotton,1640,1969,1804,High
2/19/2024,Karachi,Vegetables,1001,1713,1357,High
2/19/2024,Quetta,Wheat,1343,1616,1479,High
2/19/2024,Quetta,Rice,1182,1797,1489,High
2/19/2024,Quetta,Sugarcane,2453,2715,2584,High
2/19/2024,Quetta,Cotton,1771,2452,2111,High
2/26/2024,Lahore,Maize,2285,2935,2610,High
2/26/2024,Lahore,Sugarcane,1038,1813,1425,High
2/26/2024,Faisalabad,Wheat,2204,2869,2536,High
2/26/2024,Faisalabad,Rice,2266,2736,2501,High
2/26/2024,Faisalabad,Maize,2006,2788,2397,High
2/26/2024,Faisalabad,Sugarcane,2358,2588,2473,High
2/26/2024,Karachi,Vegetables,2453,2886,2669,High
2/26/2024,Peshawar,Rice,1062,1380,1221,High
2/26/2024,Quetta,Wheat,1208,1427,1317,High
2/26/2024,Quetta,Rice,1790,1995,1892,High
2/26/2024,Quetta,Maize,1810,2198,2004,High
2/26/2024,Quetta,Vegetables,1924,2673,2298,High
3/4/2024,Multan,Wheat,2156,2916,2536,High
3/4/2024,Multan,Maize,1729,2316,2022,High
3/4/2024,Multan,Cotton,1440,1692,1566,High
3/4/2024,Faisalabad,Rice,1594,2191,1892,High
3/4/2024,Faisalabad,Sugarcane,2364,2932,2648,High
3/4/2024,Karachi,Rice,2010,2691,2350,High
3/4/2024,Karachi,Vegetables,1187,1909,1548,High
3/4/2024,Peshawar,Wheat,1763,2505,2134,High
3/4/2024,Peshawar,Cotton,2140,2739,2439,High
3/4/2024,Quetta,Maize,2159,2885,2522,High
3/4/2024,Quetta,Vegetables,2248,2957,2602,High
3/11/2024,Lahore,Wheat,1952,2369,2160,High
3/11/2024,Lahore,Maize,1795,2592,2193,High
3/11/2024,Lahore,Cotton,1597,2318,1957,High
3/11/2024,Lahore,Vegetables,1758,2073,1915,High
3/11/2024,Multan,Rice,1154,1492,1323,High
3/11/2024,Multan,Maize,2328,2841,2584,High
3/11/2024,Multan,Sugarcane,1686,2211,1948,High
3/11/2024,Faisalabad,Wheat,1879,2677,2278,High
3/11/2024,Karachi,Sugarcane,1949,2275,2112,High
3/11/2024,Karachi,Cotton,1116,1819,1467,High
3/11/2024,Karachi,Vegetables,1140,1619,1379,High
3/11/2024,Peshawar,Wheat,2180,2744,2462,High
3/11/2024,Peshawar,Maize,1232,1667,1449,High
3/11/2024,Peshawar,Sugarcane,1850,2611,2230,High
3/11/2024,Quetta,Wheat,1185,1478,1331,High
3/11/2024,Quetta,Sugarcane,1218,1502,1360,High
3/18/2024,Lahore,Wheat,2155,2925,2540,High
3/18/2024,Lahore,Maize,1886,2344,2115,High
3/18/2024,Multan,Cotton,1018,1232,1125,High
3/18/2024,Faisalabad,Cotton,2092,2532,2312,High
3/18/2024,Karachi,Wheat,1914,2147,2030,High
3/18/2024,Karachi,Rice,2237,2809,2523,High
3/18/2024,Peshawar,Rice,1445,2023,1734,High
3/18/2024,Peshawar,Maize,1582,2334,1958,High
3/18/2024,Peshawar,Vegetables,2154,2541,2347,High
3/18/2024,Quetta,Wheat,1603,2324,1963,High
3/18/2024,Quetta,Rice,2099,2733,2416,High
3/18/2024,Quetta,Sugarcane,1413,1929,1671,High
3/18/2024,Quetta,Cotton,2185,2464,2324,High
3/25/2024,Lahore,Rice,1247,1533,1390,High
3/25/2024,Lahore,Vegetables,2129,2698,2413,High
3/25/2024,Multan,Wheat,1451,2016,1733,High
3/25/2024,Multan,Sugarcane,1774,2515,2144,High
3/25/2024,Faisalabad,Wheat,2293,2816,2554,High
3/25/2024,Faisalabad,Vegetables,1074,1279,1176,High
3/25/2024,Karachi,Wheat,2463,2777,2620,High
3/25/2024,Karachi,Vegetables,1719,2420,2069,High
3/25/2024,Peshawar,Maize,1942,2638,2290,High
3/25/2024,Peshawar,Sugarcane,1278,1872,1575,High
3/25/2024,Peshawar,Cotton,1310,1584,1447,High
3/25/2024,Peshawar,Vegetables,1487,2209,1848,High
3/25/2024,Quetta,Maize,2479,3121,2800,High
3/25/2024,Quetta,Sugarcane,1231,1900,1565,High
3/25/2024,Quetta,Cotton,1649,2410,2029,High
4/1/2024,Lahore,Maize,1912,2220,2066,High
4/1/2024,Lahore,Sugarcane,2317,2527,2422,High
4/1/2024,Faisalabad,Wheat,1208,1461,1334,High
4/1/2024,Faisalabad,Maize,2098,2782,2440,High
4/1/2024,Faisalabad,Sugarcane,1774,2051,1912,High
4/1/2024,Karachi,Maize,1773,2247,2010,High
4/1/2024,Peshawar,Cotton,2368,2716,2542,High
4/1/2024,Peshawar,Vegetables,2408,3184,2796,High
4/1/2024,Quetta,Rice,2339,2570,2454,High
4/1/2024,Quetta,Cotton,2008,2563,2285,High
4/8/2024,Lahore,Maize,2259,2730,2494,High
4/8/2024,Multan,Rice,1103,1683,1393,High
4/8/2024,Multan,Maize,2015,2228,2121,High
4/8/2024,Multan,Cotton,2201,2657,2429,High
4/8/2024,Faisalabad,Rice,1927,2419,2173,High
4/8/2024,Faisalabad,Maize,1218,1903,1560,High
4/8/2024,Karachi,Sugarcane,1001,1535,1268,High
4/8/2024,Peshawar,Sugarcane,1218,1834,1526,High
4/8/2024,Quetta,Sugarcane,1558,2137,1847,High
4/15/2024,Multan,Maize,1799,2163,1981,High
4/15/2024,Multan,Sugarcane,1081,1650,1365,High
4/15/2024,Multan,Cotton,1259,1972,1615,High
4/15/2024,Faisalabad,Sugarcane,1059,1669,1364,High
4/15/2024,Faisalabad,Cotton,1926,2374,2150,High
4/15/2024,Karachi,Wheat,1274,1858,1566,High
4/15/2024,Karachi,Maize,2391,2809,2600,High
4/15/2024,Peshawar,Cotton,1003,1436,1219,High
4/15/2024,Peshawar,Vegetables,1564,2247,1905,High
4/15/2024,Quetta,Rice,2228,2456,2342,High
4/22/2024,Lahore,Maize,1715,2012,1863,High
4/22/2024,Lahore,Sugarcane,1713,2055,1884,High
4/22/2024,Lahore,Vegetables,1972,2344,2158,High
4/22/2024,Multan,Wheat,2171,2737,2454,High
4/22/2024,Multan,Maize,1436,1744,1590,High
4/22/2024,Multan,Sugarcane,1120,1780,1450,High
4/22/2024,Faisalabad,Rice,1729,2477,2103,High
4/22/2024,Faisalabad,Maize,1807,2131,1969,High
4/22/2024,Faisalabad,Sugarcane,1387,2180,1783,High
4/22/2024,Faisalabad,Vegetables,1835,2094,1964,High
4/22/2024,Karachi,Wheat,1959,2511,2235,High
4/22/2024,Karachi,Maize,1824,2595,2209,High
4/22/2024,Karachi,Cotton,1745,2537,2141,High
4/22/2024,Karachi,Vegetables,1558,2042,1800,High
4/22/2024,Peshawar,Wheat,1623,2411,2017,High
4/22/2024,Peshawar,Maize,2413,2884,2648,High
4/22/2024,Peshawar,Vegetables,1591,2074,1832,High
4/22/2024,Quetta,Maize,1050,1845,1447,High
4/22/2024,Quetta,Vegetables,1868,2109,1988,High
4/29/2024,Lahore,Wheat,2113,2438,2275,High
4/29/2024,Lahore,Rice,1676,2017,1846,High
4/29/2024,Lahore,Maize,2151,2376,2263,High
4/29/2024,Lahore,Cotton,2011,2422,2216,High
4/29/2024,Multan,Rice,1706,2397,2051,High
4/29/2024,Multan,Cotton,1313,1933,1623,High
4/29/2024,Faisalabad,Cotton,1404,2152,1778,High
4/29/2024,Karachi,Wheat,1902,2155,2028,High
4/29/2024,Karachi,Rice,1408,1816,1612,High
4/29/2024,Karachi,Maize,1409,1791,1600,High
4/29/2024,Peshawar,Wheat,1457,1954,1705,High
4/29/2024,Quetta,Wheat,1311,1927,1619,High
4/29/2024,Quetta,Cotton,1681,2460,2070,High
5/6/2024,Lahore,Wheat,1311,2055,1683,High
5/6/2024,Lahore,Rice,1302,2020,1661,High
5/6/2024,Lahore,Cotton,1213,1918,1565,High
5/6/2024,Lahore,Vegetables,1074,1591,1332,High
5/6/2024,Multan,Wheat,1919,2145,2032,High
5/6/2024,Faisalabad,Rice,2461,2789,2625,High
5/6/2024,Karachi,Rice,1732,2130,1931,High
5/6/2024,Karachi,Sugarcane,1258,1712,1485,High
5/6/2024,Karachi,Vegetables,1114,1436,1275,High
5/6/2024,Peshawar,Wheat,1501,2033,1767,High
5/6/2024,Peshawar,Rice,1452,2111,1781,High
5/6/2024,Peshawar,Maize,1610,1954,1782,High
5/6/2024,Peshawar,Sugarcane,1938,2461,2199,High
5/6/2024,Peshawar,Vegetables,1388,1814,1601,High
5/6/2024,Quetta,Sugarcane,2167,2866,2516,High
5/13/2024,Lahore,Wheat,2114,2696,2405,High
5/13/2024,Lahore,Maize,1608,1906,1757,High
5/13/2024,Lahore,Sugarcane,1886,2633,2259,High
5/13/2024,Lahore,Cotton,2267,3052,2659,High
5/13/2024,Multan,Rice,2276,2649,2462,High
5/13/2024,Multan,Vegetables,2205,2649,2427,High
5/13/2024,Faisalabad,Sugarcane,1732,2438,2085,High
5/13/2024,Peshawar,Wheat,1050,1448,1249,High
5/13/2024,Peshawar,Vegetables,1331,1816,1573,High
5/13/2024,Quetta,Cotton,2348,2557,2452,High
5/13/2024,Quetta,Vegetables,2082,2548,2315,High
5/20/2024,Lahore,Wheat,1890,2135,2012,High
5/20/2024,Lahore,Cotton,2435,2676,2555,High
5/20/2024,Multan,Sugarcane,2484,3008,2746,High
5/20/2024,Faisalabad,Rice,1203,1938,1570,High
5/20/2024,Faisalabad,Cotton,1455,2182,1818,High
5/20/2024,Faisalabad,Vegetables,2358,2951,2654,High
5/20/2024,Peshawar,Maize,2025,2246,2135,High
5/20/2024,Peshawar,Cotton,1005,1418,1211,High
5/20/2024,Quetta,Wheat,1911,2502,2206,High
5/27/2024,Lahore,Rice,2347,2923,2635,High
5/27/2024,Lahore,Vegetables,2111,2874,2492,High
5/27/2024,Multan,Rice,1493,1946,1719,High
5/27/2024,Multan,Maize,2151,2767,2459,High
5/27/2024,Multan,Sugarcane,1445,1942,1693,High
5/27/2024,Faisalabad,Wheat,1141,1721,1431,High
5/27/2024,Faisalabad,Vegetables,1281,1837,1559,High
5/27/2024,Karachi,Sugarcane,1927,2477,2202,High
5/27/2024,Karachi,Vegetables,1667,2190,1928,High
5/27/2024,Peshawar,Vegetables,1154,1549,1351,High
5/27/2024,Quetta,Rice,1918,2367,2142,High
5/27/2024,Quetta,Maize,2355,2933,2644,High
5/27/2024,Quetta,Cotton,2142,2704,2423,High
6/3/2024,Multan,Wheat,2306,3094,2700,High
6/3/2024,Multan,Rice,1942,2530,2236,High
6/3/2024,Multan,Maize,1563,1902,1732,High
6/3/2024,Multan,Vegetables,1974,2520,2247,High
6/3/2024,Faisalabad,Sugarcane,2012,2410,2211,High
6/3/2024,Karachi,Wheat,1571,2322,1946,High
6/3/2024,Karachi,Sugarcane,2413,3187,2800,High
6/3/2024,Karachi,Cotton,1108,1547,1327,High
6/3/2024,Karachi,Vegetables,1531,2160,1845,High
6/3/2024,Peshawar,Wheat,1014,1704,1359,High
6/3/2024,Quetta,Maize,1012,1243,1127,High
6/3/2024,Quetta,Sugarcane,1827,2591,2209,High
6/3/2024,Quetta,Vegetables,1109,1712,1410,High
6/10/2024,Lahore,Rice,1578,2110,1844,High
6/10/2024,Lahore,Vegetables,2372,3118,2745,High
6/10/2024,Multan,Rice,1826,2306,2066,High
6/10/2024,Multan,Vegetables,2096,2351,2223,High
6/10/2024,Faisalabad,Rice,1891,2625,2258,High
6/10/2024,Karachi,Wheat,1536,1808,1672,High
6/10/2024,Karachi,Rice,2228,2690,2459,High
6/10/2024,Karachi,Maize,1913,2509,2211,High
6/10/2024,Quetta,Cotton,2475,3075,2775,High
6/10/2024,Quetta,Vegetables,1327,1666,1496,High
6/17/2024,Lahore,Rice,1964,2577,2270,High
6/17/2024,Lahore,Maize,2414,2738,2576,High
6/17/2024,Lahore,Sugarcane,1433,1916,1674,High
6/17/2024,Lahore,Vegetables,1790,2579,2184,High
6/17/2024,Multan,Wheat,2030,2461,2245,High
6/17/2024,Faisalabad,Wheat,2326,2806,2566,High
6/17/2024,Faisalabad,Rice,1983,2490,2236,High
6/17/2024,Faisalabad,Maize,1138,1468,1303,High
6/17/2024,Faisalabad,Sugarcane,1691,1902,1796,High
6/17/2024,Karachi,Wheat,1700,2001,1850,High
6/17/2024,Karachi,Rice,1663,2229,1946,High
6/17/2024,Karachi,Cotton,1637,1905,1771,High
6/17/2024,Karachi,Vegetables,1644,2138,1891,High
6/17/2024,Peshawar,Wheat,2111,2522,2316,High
6/17/2024,Quetta,Rice,1006,1344,1175,High
6/17/2024,Quetta,Maize,1205,1798,1501,High
6/17/2024,Quetta,Sugarcane,1953,2659,2306,High
6/17/2024,Quetta,Cotton,1887,2228,2057,High
6/24/2024,Lahore,Rice,2351,3117,2734,High
6/24/2024,Multan,Rice,2081,2818,2449,High
6/24/2024,Faisalabad,Vegetables,1738,2469,2103,High
6/24/2024,Karachi,Wheat,1838,2279,2058,High
6/24/2024,Karachi,Maize,1720,2239,1979,High
6/24/2024,Karachi,Sugarcane,1318,1925,1621,High
6/24/2024,Peshawar,Rice,1988,2421,2204,High
6/24/2024,Peshawar,Maize,1538,2123,1830,High
6/24/2024,Peshawar,Sugarcane,1845,2486,2165,High
6/24/2024,Peshawar,Vegetables,2121,2849,2485,High
6/24/2024,Quetta,Wheat,1393,2011,1702,High
7/1/2024,Lahore,Rice,1402,1968,1685,High
7/1/2024,Lahore,Maize,1966,2395,2180,High
7/1/2024,Lahore,Vegetables,2455,2996,2725,High
7/1/2024,Multan,Maize,1724,1942,1833,High
7/1/2024,Multan,Cotton,1179,1537,1358,High
7/1/2024,Faisalabad,Sugarcane,2210,2971,2590,High
7/1/2024,Faisalabad,Cotton,2476,2768,2622,High
7/1/2024,Faisalabad,Vegetables,1994,2632,2313,High
7/1/2024,Peshawar,Wheat,2145,2691,2418,High
7/1/2024,Peshawar,Vegetables,2486,3187,2836,High
7/1/2024,Quetta,Wheat,1416,1799,1607,High
7/1/2024,Quetta,Rice,1776,2190,1983,High
7/1/2024,Quetta,Sugarcane,1271,1527,1399,High
7/8/2024,Lahore,Rice,1449,1687,1568,High
7/8/2024,Lahore,Sugarcane,2486,2759,2622,High
7/8/2024,Lahore,Cotton,2107,2744,2425,High
7/8/2024,Lahore,Vegetables,2276,2961,2618,High
7/8/2024,Multan,Maize,1447,2026,1736,High
7/8/2024,Faisalabad,Wheat,2386,2773,2579,High
7/8/2024,Faisalabad,Maize,1740,2326,2033,High
7/8/2024,Karachi,Cotton,1849,2464,2156,High
7/8/2024,Peshawar,Maize,1342,1962,1652,High
7/8/2024,Peshawar,Cotton,1501,1760,1630,High
7/8/2024,Quetta,Sugarcane,1969,2552,2260,High
7/8/2024,Quetta,Vegetables,2397,2649,2523,High
7/15/2024,Lahore,Rice,2416,3120,2768,High
7/15/2024,Multan,Rice,1602,2244,1923,High
7/15/2024,Multan,Cotton,2325,2776,2550,High
7/15/2024,Faisalabad,Vegetables,1016,1577,1296,High
7/15/2024,Karachi,Cotton,1389,1593,1491,High
7/15/2024,Peshawar,Rice,1699,2289,1994,High
7/15/2024,Peshawar,Sugarcane,1215,1755,1485,High
7/15/2024,Quetta,Rice,2203,2825,2514,High
7/15/2024,Quetta,Maize,1216,1878,1547,High
7/22/2024,Lahore,Maize,1472,2114,1793,High
7/22/2024,Faisalabad,Rice,1591,2334,1962,High
7/22/2024,Karachi,Sugarcane,2179,2756,2467,High
7/22/2024,Peshawar,Maize,2414,2671,2542,High
7/22/2024,Peshawar,Sugarcane,2003,2572,2287,High
7/22/2024,Quetta,Cotton,1224,1661,1442,High
7/29/2024,Lahore,Wheat,2242,2528,2385,High
7/29/2024,Lahore,Vegetables,1296,2040,1668,High
7/29/2024,Multan,Maize,1185,1820,1502,High
7/29/2024,Multan,Vegetables,1070,1273,1171,High
7/29/2024,Faisalabad,Rice,2342,3069,2705,High
7/29/2024,Faisalabad,Cotton,2415,2932,2673,High
7/29/2024,Faisalabad,Vegetables,2019,2437,2228,High
7/29/2024,Peshawar,Sugarcane,1521,1800,1660,High
7/29/2024,Quetta,Maize,2030,2623,2326,High
7/29/2024,Quetta,Cotton,1034,1566,1300,High
8/5/2024,Lahore,Sugarcane,1619,1833,1726,High
8/5/2024,Lahore,Cotton,1074,1733,1403,High
8/5/2024,Multan,Vegetables,1009,1460,1234,High
8/5/2024,Faisalabad,Maize,2293,2670,2481,High
8/5/2024,Karachi,Wheat,1831,2544,2187,High
8/5/2024,Karachi,Maize,1027,1814,1420,High
8/5/2024,Karachi,Sugarcane,2193,2951,2572,High
8/5/2024,Karachi,Vegetables,2355,2904,2629,High
8/5/2024,Peshawar,Rice,1768,2242,2005,High
8/5/2024,Peshawar,Cotton,1709,2482,2095,High
8/5/2024,Peshawar,Vegetables,1010,1722,1366,High
8/5/2024,Quetta,Wheat,2379,2944,2661,High
8/5/2024,Quetta,Vegetables,1509,1954,1731,High
8/12/2024,Lahore,Rice,2199,2969,2584,High
8/12/2024,Lahore,Sugarcane,2425,2976,2700,High
8/12/2024,Multan,Wheat,1259,2059,1659,High
8/12/2024,Multan,Cotton,1870,2396,2133,High
8/12/2024,Multan,Vegetables,1569,1942,1755,High
8/12/2024,Faisalabad,Wheat,2169,2607,2388,High
8/12/2024,Faisalabad,Cotton,1470,1699,1584,High
8/12/2024,Karachi,Wheat,1413,2175,1794,High
8/12/2024,Karachi,Cotton,1807,2605,2206,High
8/12/2024,Karachi,Vegetables,2063,2507,2285,High
8/12/2024,Peshawar,Sugarcane,1311,1932,1621,High
8/12/2024,Quetta,Wheat,2013,2724,2368,High
8/12/2024,Quetta,Rice,1191,1648,1419,High
8/12/2024,Quetta,Maize,1088,1772,1430,High
8/19/2024,Lahore,Wheat,1220,1619,1419,High
8/19/2024,Lahore,Maize,2438,3207,2822,High
8/19/2024,Multan,Sugarcane,2316,2962,2639,High
8/19/2024,Multan,Vegetables,1611,2220,1915,High
8/19/2024,Quetta,Rice,1672,2394,2033,High
8/19/2024,Quetta,Cotton,1874,2649,2261,High
8/26/2024,Lahore,Wheat,1642,2074,1858,High
8/26/2024,Lahore,Rice,2165,2686,2425,High
8/26/2024,Lahore,Cotton,1743,2367,2055,High
8/26/2024,Multan,Rice,1291,2041,1666,High
8/26/2024,Multan,Maize,2302,2760,2531,High
8/26/2024,Multan,Sugarcane,1929,2346,2137,High
8/26/2024,Faisalabad,Maize,1198,1995,1596,High
8/26/2024,Karachi,Cotton,1802,2218,2010,High
8/26/2024,Karachi,Vegetables,1443,2075,1759,High
8/26/2024,Quetta,Vegetables,2444,2835,2639,High
9/2/2024,Lahore,Rice,1116,1489,1302,High
9/2/2024,Multan,Maize,1409,1609,1509,High
9/2/2024,Multan,Vegetables,2198,2428,2313,High
9/2/2024,Karachi,Wheat,1097,1586,1341,High
9/2/2024,Karachi,Maize,1217,1643,1430,High
9/2/2024,Quetta,Wheat,1603,2311,1957,High
9/2/2024,Quetta,Rice,1827,2303,2065,High
9/2/2024,Quetta,Cotton,2208,2733,2470,High
9/9/2024,Lahore,Cotton,1110,1523,1316,High
9/9/2024,Multan,Rice,1522,1728,1625,High
9/9/2024,Multan,Sugarcane,1478,1952,1715,High
9/9/2024,Multan,Vegetables,1798,2132,1965,High
9/9/2024,Faisalabad,Rice,1134,1708,1421,High
9/9/2024,Faisalabad,Maize,1502,1765,1633,High
9/9/2024,Karachi,Cotton,2389,2594,2491,High
9/9/2024,Quetta,Maize,1444,2099,1771,High
9/16/2024,Lahore,Cotton,1502,1923,1712,High
9/16/2024,Multan,Wheat,2064,2764,2414,High
9/16/2024,Multan,Maize,1056,1496,1276,High
9/16/2024,Multan,Sugarcane,1297,2049,1673,High
9/16/2024,Faisalabad,Maize,1813,2104,1958,High
9/16/2024,Faisalabad,Cotton,1149,1474,1311,High
9/16/2024,Karachi,Rice,2186,2719,2452,High
9/16/2024,Karachi,Cotton,2399,2793,2596,High
9/16/2024,Karachi,Vegetables,1459,2249,1854,High
9/16/2024,Peshawar,Wheat,2420,2686,2553,High
9/16/2024,Peshawar,Sugarcane,2299,2545,2422,High
9/16/2024,Quetta,Wheat,2461,3128,2794,High
9/16/2024,Quetta,Maize,2194,2652,2423,High
9/16/2024,Quetta,Vegetables,1392,1700,1546,High
9/23/2024,Lahore,Cotton,1810,2066,1938,High
9/23/2024,Multan,Wheat,1420,1652,1536,High
9/23/2024,Multan,Maize,1085,1428,1256,High
9/23/2024,Faisalabad,Rice,1888,2102,1995,High
9/23/2024,Faisalabad,Maize,2092,2712,2402,High
9/23/2024,Karachi,Maize,1535,2153,1844,High
9/23/2024,Karachi,Sugarcane,1123,1573,1348,High
9/23/2024,Peshawar,Wheat,1232,1889,1560,High
9/23/2024,Peshawar,Maize,1836,2308,2072,High
9/23/2024,Peshawar,Sugarcane,1434,1812,1623,High
9/23/2024,Peshawar,Vegetables,2436,2975,2705,High
9/23/2024,Quetta,Rice,2014,2661,2337,High
9/23/2024,Quetta,Maize,1886,2513,2199,High
9/23/2024,Quetta,Cotton,1227,1936,1581,High
9/30/2024,Lahore,Rice,1819,2271,2045,High
9/30/2024,Multan,Cotton,1473,2019,1746,High
9/30/2024,Faisalabad,Wheat,2032,2320,2176,High
9/30/2024,Karachi,Wheat,1209,1811,1510,High
9/30/2024,Karachi,Maize,1422,1970,1696,High
9/30/2024,Karachi,Sugarcane,2126,2774,2450,High
9/30/2024,Quetta,Sugarcane,1146,1472,1309,High
9/30/2024,Quetta,Cotton,2339,2978,2658,High
9/30/2024,Quetta,Vegetables,1594,2063,1828,High
10/7/2024,Lahore,Vegetables,1739,2244,1991,High
10/7/2024,Multan,Cotton,1543,2232,1887,High
10/7/2024,Faisalabad,Wheat,2165,2625,2395,High
10/7/2024,Faisalabad,Rice,1191,1464,1327,High
10/7/2024,Faisalabad,Sugarcane,1922,2639,2280,High
10/7/2024,Faisalabad,Vegetables,1449,2093,1771,High
10/7/2024,Karachi,Maize,1502,1855,1678,High
10/7/2024,Karachi,Sugarcane,1264,1666,1465,High
10/7/2024,Karachi,Vegetables,1526,2311,1918,High
10/7/2024,Peshawar,Wheat,1664,2220,1942,High
10/7/2024,Peshawar,Vegetables,2104,2851,2477,High
10/7/2024,Quetta,Vegetables,1026,1691,1358,High
